service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20250715,20251102
Daily-2,1,1,1,1,1,1,1,20250715,20250719
Daily-3,1,1,1,1,1,1,1,20250720,20251102
ExSat-1,1,1,1,1,1,0,1,20250715,20251102
ExSat-2,1,1,1,1,1,0,1,20250720,20251102
ExSun-1,1,1,1,1,1,1,0,20250715,20251102
ExSun-2,1,1,1,1,1,1,0,20250720,20251102
ExTue-1,1,0,1,1,1,1,1,20250715,20251102
ExTue-2,1,0,1,1,1,1,1,20250715,20251102
FriSat-1,0,0,0,0,1,1,0,20250715,20251102
Friday-1,0,0,0,0,1,0,0,20250715,20251102
Friday-2,0,0,0,0,1,0,0,20250720,20251102
Friday-3,0,0,0,0,1,0,0,20250715,20250719
Friday-4,0,0,0,0,1,0,0,20250715,20251102
Other-1,0,0,0,0,0,0,0,20250715,20251102
Other-10,0,0,0,0,0,0,0,20250720,20251102
Other-11,0,0,0,0,0,0,0,20250720,20251102
Other-12,0,0,0,0,0,0,0,20250720,20251102
Other-13,0,0,0,0,0,0,0,20250715,20251102
Other-14,0,0,0,0,0,0,0,20250715,20251102
Other-15,0,0,0,0,0,0,0,20250720,20251102
Other-16,0,0,0,0,0,0,0,20250715,20251102
Other-17,0,0,0,0,0,0,0,20250715,20251102
Other-18,0,0,0,0,0,0,0,20250720,20251102
Other-19,0,0,0,0,0,0,0,20250720,20251102
Other-2,0,0,0,0,0,0,0,20250715,20251102
Other-20,0,0,0,0,0,0,0,20250715,20251102
Other-21,0,0,0,0,0,0,0,20250715,20251102
Other-22,0,0,0,0,0,0,0,20250720,20251102
Other-23,0,0,0,0,0,0,0,20250715,20251102
Other-24,0,0,0,0,0,0,0,20250715,20251102
Other-25,0,0,0,0,0,0,0,20250715,20251102
Other-26,0,0,0,0,0,0,0,20250715,20251102
Other-27,0,0,0,0,0,0,0,20250715,20251102
Other-28,0,0,0,0,0,0,0,20250715,20251102
Other-29,0,0,0,0,0,0,0,20250715,20251102
Other-3,0,0,0,0,0,0,0,20250715,20251102
Other-30,0,0,0,0,0,0,0,20250726,20251102
Other-31,0,0,0,0,0,0,0,20250726,20251102
Other-32,0,0,0,0,0,0,0,20250726,20251102
Other-4,0,0,0,0,0,0,0,20250715,20251102
Other-5,0,0,0,0,0,0,0,20250720,20251102
Other-6,0,0,0,0,0,0,0,20250715,20251102
Other-7,0,0,0,0,0,0,0,20250715,20251102
Other-8,0,0,0,0,0,0,0,20250715,20251102
Other-9,0,0,0,0,0,0,0,20250715,20251102
Saturday-1,0,0,0,0,0,1,0,20250715,20251102
Saturday-2,0,0,0,0,0,1,0,20250720,20251102
Saturday-3,0,0,0,0,0,1,0,20250715,20251102
Sunday-1,0,0,0,0,0,0,1,20250715,20251102
Sunday-2,0,0,0,0,0,0,1,20250715,20251102
Sunday-3,0,0,0,0,0,0,1,20250715,20251102
Sunday-4,0,0,0,0,0,0,1,20250715,20251102
Sunday-5,0,0,0,0,0,0,1,20250715,20251102
Sunday-6,0,0,0,0,0,0,1,20250715,20251102
Sunday-7,0,0,0,0,0,0,1,20250715,20251102
Sunday-8,0,0,0,0,0,0,1,20250715,20250725
Thursday-1,0,0,0,1,0,0,0,20250715,20251102
Thursday-2,0,0,0,1,0,0,0,20250715,20251102
Tuesday-1,0,1,0,0,0,0,0,20250715,20251102
Tuesday-2,0,1,0,0,0,0,0,20250715,20251102
Wednesday-1,0,0,1,0,0,0,0,20250715,20251102
Wednesday-2,0,0,1,0,0,0,0,20250715,20251102
Wednesday-3,0,0,1,0,0,0,0,20250715,20251102
Weekday-1,1,1,1,1,1,0,0,20250715,20251102
Weekday-10,1,1,1,1,1,0,0,20250715,20251102
Weekday-11,1,1,1,1,1,0,0,20250715,20251102
Weekday-12,1,1,1,1,1,0,0,20250715,20251102
Weekday-13,1,1,1,1,1,0,0,20250715,20251102
Weekday-14,1,1,1,1,1,0,0,20250715,20251102
Weekday-15,1,1,1,1,1,0,0,20250715,20251102
Weekday-2,1,1,1,1,1,0,0,20250715,20251102
Weekday-3,1,1,1,1,1,0,0,20250720,20251102
Weekday-4,1,1,1,1,1,0,0,20250715,20250719
Weekday-5,1,1,1,1,1,0,0,20250720,20251102
Weekday-6,1,1,1,1,1,0,0,20250715,20251102
Weekday-7,1,1,1,1,1,0,0,20250715,20251102
Weekday-8,1,1,1,1,1,0,0,20250715,20251102
Weekday-9,1,1,1,1,1,0,0,20250715,20251102
Weekend-1,0,0,0,0,0,1,1,20250715,20251102
Weekend-2,0,0,0,0,0,1,1,20250715,20250719
Weekend-3,0,0,0,0,0,1,1,20250720,20251102
Weekend-4,0,0,0,0,0,1,1,20250715,20251102
WkExFri-1,1,1,1,1,0,0,0,20250715,20251102
WkExFri-2,1,1,1,1,0,0,0,20250715,20251102
WkExFri-3,1,1,1,1,0,0,0,20250715,20251102
WkExTues-1,1,0,1,1,1,0,0,20250715,20251102
WkExWed-1,1,1,0,1,1,0,0,20250715,20251102
