service_id,date,exception_type
ExSun-1,20251027,2
ExSun-2,20251027,2
ExTue-2,20250720,2
ExTue-2,20250727,2
ExTue-2,20250803,2
ExTue-2,20250810,2
ExTue-2,20250817,2
ExTue-2,20250824,2
ExTue-2,20250831,2
ExTue-2,20250907,2
ExTue-2,20250914,2
ExTue-2,20250921,2
ExTue-2,20250928,2
ExTue-2,20251005,2
ExTue-2,20251012,2
ExTue-2,20251019,2
ExTue-2,20251026,2
ExTue-2,20251027,2
ExTue-2,20251102,2
Friday-4,20250725,2
Other-1,20250724,1
Other-1,20250807,1
Other-1,20250821,1
Other-10,20250726,1
Other-10,20250727,1
Other-11,20250726,1
Other-12,20250727,1
Other-13,20250721,1
Other-13,20250728,1
Other-13,20250804,1
Other-13,20250811,1
Other-13,20250818,1
Other-13,20250825,1
Other-14,20250721,1
Other-14,20250804,1
Other-14,20250818,1
Other-15,20250720,1
Other-15,20250803,1
Other-15,20250810,1
Other-15,20250817,1
Other-15,20250824,1
Other-15,20250831,1
Other-16,20250721,1
Other-16,20250724,1
Other-16,20250728,1
Other-16,20250804,1
Other-16,20250807,1
Other-16,20250811,1
Other-16,20250818,1
Other-16,20250821,1
Other-16,20250825,1
Other-17,20250728,1
Other-17,20250811,1
Other-17,20250825,1
Other-18,20250809,1
Other-18,20250810,1
Other-19,20250809,1
Other-2,20250720,1
Other-2,20250727,1
Other-2,20250803,1
Other-2,20250810,1
Other-2,20250817,1
Other-2,20250824,1
Other-2,20250831,1
Other-20,20250922,1
Other-20,20250923,1
Other-20,20250924,1
Other-20,20250925,1
Other-20,20250926,1
Other-20,20250929,1
Other-20,20250930,1
Other-20,20251001,1
Other-20,20251002,1
Other-20,20251003,1
Other-21,20250801,1
Other-21,20250905,1
Other-21,20251003,1
Other-21,20251025,1
Other-21,20251026,1
Other-21,20251027,1
Other-22,20251025,1
Other-22,20251026,1
Other-22,20251027,1
Other-23,20250803,1
Other-23,20250907,1
Other-23,20251005,1
Other-23,20251025,1
Other-23,20251026,1
Other-23,20251027,1
Other-24,20250724,1
Other-24,20250807,1
Other-25,20250720,1
Other-25,20250803,1
Other-25,20250817,1
Other-26,20250715,1
Other-26,20250716,1
Other-26,20250717,1
Other-26,20250722,1
Other-26,20250729,1
Other-26,20250730,1
Other-26,20250731,1
Other-26,20250805,1
Other-26,20250812,1
Other-26,20250813,1
Other-26,20250814,1
Other-26,20250819,1
Other-26,20250820,1
Other-26,20250821,1
Other-26,20250826,1
Other-26,20250827,1
Other-26,20250828,1
Other-27,20250715,1
Other-27,20250716,1
Other-27,20250717,1
Other-27,20250722,1
Other-27,20250725,1
Other-27,20250729,1
Other-27,20250730,1
Other-27,20250731,1
Other-27,20250805,1
Other-27,20250812,1
Other-27,20250813,1
Other-27,20250814,1
Other-27,20250819,1
Other-27,20250820,1
Other-27,20250821,1
Other-27,20250826,1
Other-27,20250827,1
Other-27,20250828,1
Other-28,20250723,1
Other-28,20250806,1
Other-29,20250905,1
Other-29,20250906,1
Other-29,20250907,1
Other-29,20250912,1
Other-29,20250913,1
Other-29,20250914,1
Other-29,20250919,1
Other-29,20250920,1
Other-29,20250921,1
Other-29,20250926,1
Other-29,20250927,1
Other-29,20250928,1
Other-29,20251003,1
Other-29,20251004,1
Other-29,20251005,1
Other-29,20251010,1
Other-29,20251011,1
Other-29,20251012,1
Other-29,20251017,1
Other-29,20251018,1
Other-29,20251019,1
Other-3,20250720,1
Other-3,20250724,1
Other-3,20250727,1
Other-3,20250803,1
Other-3,20250807,1
Other-3,20250810,1
Other-3,20250817,1
Other-3,20250821,1
Other-3,20250824,1
Other-3,20250831,1
Other-30,20250803,1
Other-30,20250817,1
Other-31,20250727,1
Other-31,20250810,1
Other-31,20250824,1
Other-32,20250810,1
Other-32,20250824,1
Other-4,20250715,1
Other-4,20250716,1
Other-4,20250717,1
Other-4,20250722,1
Other-4,20250725,1
Other-4,20250729,1
Other-4,20250730,1
Other-4,20250731,1
Other-4,20250805,1
Other-4,20250812,1
Other-4,20250813,1
Other-4,20250814,1
Other-4,20250819,1
Other-4,20250826,1
Other-4,20250827,1
Other-4,20250828,1
Other-5,20250725,1
Other-6,20250723,1
Other-6,20250806,1
Other-6,20250820,1
Other-7,20250715,1
Other-7,20250716,1
Other-7,20250717,1
Other-7,20250722,1
Other-7,20250723,1
Other-7,20250725,1
Other-7,20250729,1
Other-7,20250730,1
Other-7,20250731,1
Other-7,20250805,1
Other-7,20250806,1
Other-7,20250812,1
Other-7,20250813,1
Other-7,20250814,1
Other-7,20250819,1
Other-7,20250820,1
Other-7,20250826,1
Other-7,20250827,1
Other-7,20250828,1
Other-8,20250809,1
Other-8,20250810,1
Other-8,20250823,1
Other-8,20250824,1
Other-9,20250809,1
Other-9,20250823,1
Saturday-3,20250726,2
Saturday-3,20250809,2
Saturday-3,20250823,2
Sunday-1,20251027,1
Sunday-2,20250803,2
Sunday-2,20250907,2
Sunday-2,20251005,2
Sunday-2,20251026,2
Sunday-3,20251026,2
Sunday-4,20251027,1
Sunday-4,20250727,2
Sunday-4,20250810,2
Sunday-4,20250824,2
Sunday-5,20251027,1
Sunday-5,20250720,2
Sunday-5,20250727,2
Sunday-5,20250803,2
Sunday-5,20250810,2
Sunday-5,20250817,2
Sunday-5,20250824,2
Sunday-6,20251027,1
Sunday-6,20250803,2
Sunday-6,20250817,2
Sunday-7,20251027,1
Sunday-7,20250727,2
Sunday-7,20250803,2
Sunday-7,20250810,2
Sunday-7,20250817,2
Sunday-7,20250824,2
Thursday-2,20250718,1
Thursday-2,20250725,1
Thursday-2,20250801,1
Thursday-2,20250808,1
Thursday-2,20250815,1
Thursday-2,20250822,1
Thursday-2,20250829,1
Thursday-2,20250905,1
Thursday-2,20250912,1
Thursday-2,20250919,1
Thursday-2,20250926,1
Thursday-2,20251003,1
Thursday-2,20251010,1
Thursday-2,20251017,1
Thursday-2,20251024,1
Thursday-2,20251031,1
Tuesday-1,20250721,1
Tuesday-1,20250728,1
Tuesday-1,20250804,1
Tuesday-1,20250811,1
Tuesday-1,20250818,1
Tuesday-1,20250825,1
Tuesday-1,20250901,1
Tuesday-1,20250908,1
Tuesday-1,20250915,1
Tuesday-1,20250922,1
Tuesday-1,20250929,1
Tuesday-1,20251006,1
Tuesday-1,20251013,1
Tuesday-1,20251020,1
Wednesday-1,20250718,1
Wednesday-1,20250815,1
Wednesday-1,20250919,1
Wednesday-1,20251017,1
Wednesday-3,20250717,1
Wednesday-3,20250724,1
Wednesday-3,20250731,1
Wednesday-3,20250807,1
Wednesday-3,20250814,1
Wednesday-3,20250821,1
Wednesday-3,20250828,1
Wednesday-3,20250904,1
Wednesday-3,20250911,1
Wednesday-3,20250918,1
Wednesday-3,20250925,1
Wednesday-3,20251002,1
Wednesday-3,20251009,1
Wednesday-3,20251016,1
Wednesday-3,20251023,1
Wednesday-3,20251030,1
Weekday-1,20251027,2
Weekday-10,20250715,2
Weekday-10,20250716,2
Weekday-10,20250717,2
Weekday-10,20250722,2
Weekday-10,20250723,2
Weekday-10,20250725,2
Weekday-10,20250729,2
Weekday-10,20250730,2
Weekday-10,20250731,2
Weekday-10,20250805,2
Weekday-10,20250806,2
Weekday-10,20250812,2
Weekday-10,20250813,2
Weekday-10,20250814,2
Weekday-10,20250819,2
Weekday-10,20250820,2
Weekday-10,20250821,2
Weekday-10,20250826,2
Weekday-10,20250827,2
Weekday-10,20250828,2
Weekday-10,20251027,2
Weekday-11,20250715,2
Weekday-11,20250716,2
Weekday-11,20250717,2
Weekday-11,20250722,2
Weekday-11,20250729,2
Weekday-11,20250730,2
Weekday-11,20250731,2
Weekday-11,20250805,2
Weekday-11,20250812,2
Weekday-11,20250813,2
Weekday-11,20250814,2
Weekday-11,20250819,2
Weekday-11,20250820,2
Weekday-11,20250821,2
Weekday-11,20250826,2
Weekday-11,20250827,2
Weekday-11,20250828,2
Weekday-11,20251027,2
Weekday-12,20250715,2
Weekday-12,20250716,2
Weekday-12,20250717,2
Weekday-12,20250722,2
Weekday-12,20250725,2
Weekday-12,20250729,2
Weekday-12,20250730,2
Weekday-12,20250731,2
Weekday-12,20250805,2
Weekday-12,20250812,2
Weekday-12,20250813,2
Weekday-12,20250814,2
Weekday-12,20250819,2
Weekday-12,20250820,2
Weekday-12,20250821,2
Weekday-12,20250826,2
Weekday-12,20250827,2
Weekday-12,20250828,2
Weekday-12,20251027,2
Weekday-13,20250721,2
Weekday-13,20250804,2
Weekday-13,20250818,2
Weekday-13,20251027,2
Weekday-14,20250721,2
Weekday-14,20250728,2
Weekday-14,20250804,2
Weekday-14,20250811,2
Weekday-14,20250818,2
Weekday-14,20250825,2
Weekday-14,20251027,2
Weekday-15,20250721,2
Weekday-15,20250724,2
Weekday-15,20250728,2
Weekday-15,20250804,2
Weekday-15,20250807,2
Weekday-15,20250811,2
Weekday-15,20250818,2
Weekday-15,20250825,2
Weekday-15,20251027,2
Weekday-2,20250922,2
Weekday-2,20250923,2
Weekday-2,20250924,2
Weekday-2,20250925,2
Weekday-2,20250926,2
Weekday-2,20250929,2
Weekday-2,20250930,2
Weekday-2,20251001,2
Weekday-2,20251002,2
Weekday-2,20251003,2
Weekday-2,20251027,2
Weekday-3,20251027,2
Weekday-5,20250922,2
Weekday-5,20250923,2
Weekday-5,20250924,2
Weekday-5,20250925,2
Weekday-5,20250926,2
Weekday-5,20250929,2
Weekday-5,20250930,2
Weekday-5,20251001,2
Weekday-5,20251002,2
Weekday-5,20251003,2
Weekday-5,20251027,2
Weekday-6,20250724,2
Weekday-6,20250807,2
Weekday-6,20251027,2
Weekday-7,20250724,2
Weekday-7,20250728,2
Weekday-7,20250807,2
Weekday-7,20250811,2
Weekday-7,20250825,2
Weekday-7,20251027,2
Weekday-8,20250721,2
Weekday-8,20250724,2
Weekday-8,20250804,2
Weekday-8,20250807,2
Weekday-8,20250818,2
Weekday-8,20251027,2
Weekday-9,20250728,2
Weekday-9,20250811,2
Weekday-9,20250825,2
Weekday-9,20251027,2
Weekend-1,20251027,1
Weekend-3,20251027,1
Weekend-4,20250922,1
Weekend-4,20250923,1
Weekend-4,20250924,1
Weekend-4,20250925,1
Weekend-4,20250926,1
Weekend-4,20250929,1
Weekend-4,20250930,1
Weekend-4,20251001,1
Weekend-4,20251002,1
Weekend-4,20251003,1
Weekend-4,20251027,1
WkExFri-1,20250721,2
WkExFri-1,20250724,2
WkExFri-1,20250804,2
WkExFri-1,20250807,2
WkExFri-1,20250818,2
WkExFri-1,20251027,2
WkExFri-2,20251027,2
WkExFri-3,20250721,2
WkExFri-3,20250724,2
WkExFri-3,20250728,2
WkExFri-3,20250804,2
WkExFri-3,20250807,2
WkExFri-3,20250811,2
WkExFri-3,20250818,2
WkExFri-3,20250825,2
WkExFri-3,20251027,2
WkExTues-1,20250721,2
WkExTues-1,20250728,2
WkExTues-1,20250804,2
WkExTues-1,20250811,2
WkExTues-1,20250818,2
WkExTues-1,20250825,2
WkExTues-1,20250901,2
WkExTues-1,20250908,2
WkExTues-1,20250915,2
WkExTues-1,20250922,2
WkExTues-1,20250929,2
WkExTues-1,20251006,2
WkExTues-1,20251013,2
WkExTues-1,20251020,2
WkExTues-1,20251027,2
WkExWed-1,20250718,2
WkExWed-1,20250725,2
WkExWed-1,20250801,2
WkExWed-1,20250808,2
WkExWed-1,20250815,2
WkExWed-1,20250822,2
WkExWed-1,20250829,2
WkExWed-1,20250905,2
WkExWed-1,20250912,2
WkExWed-1,20250919,2
WkExWed-1,20250926,2
WkExWed-1,20251003,2
WkExWed-1,20251010,2
WkExWed-1,20251017,2
WkExWed-1,20251024,2
WkExWed-1,20251027,2
WkExWed-1,20251031,2
